City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ta`u,-14.2336,-169.5144,27.05,68,75,5.77,AS,1691084261
pangody,65.85,74.4859,21.97,62,2,4.9,RU,1691084262
mocimboa,-11.3167,40.35,22.98,85,33,5.29,MZ,1691084262
san antonio de pale,-1.4014,5.6325,22.49,75,5,2.2,GQ,1691084263
papatowai,-46.5619,169.4708,6.22,84,64,3.6,NZ,1691084263
mana,5.6592,-53.7767,27.99,77,73,4.49,GF,1691084263
bredasdorp,-34.5322,20.0403,14.42,65,16,0.31,ZA,1691084264
port mathurin,-19.6833,63.4167,23.39,72,56,8.77,MU,1691084264
severo-yeniseyskiy,60.3725,93.0408,14.24,79,32,2.63,RU,1691084264
jwaneng,-24.6004,24.7303,11.54,45,0,4.61,BW,1691084265
santa rosa,14.3122,121.1114,27.26,96,95,4.41,PH,1691084082
coquimbo,-29.9533,-71.3436,15.85,77,100,3.09,CL,1691083899
punta arenas,-53.15,-70.9167,3.78,83,96,11.39,CL,1691084002
lashio,22.9333,97.75,21.16,100,100,0.46,MM,1691084266
dudinka,69.4058,86.1778,11.62,66,23,4.03,RU,1691084267
kerikeri,-35.2268,173.9474,8.06,90,65,2.02,NZ,1691084267
xinshi,31.047,113.141,26.94,83,0,0.64,CN,1691084267
dakhla,23.6848,-15.958,23.01,78,20,12.86,EH,1691084268
jamestown,42.097,-79.2353,27.79,52,20,4.12,US,1691084117
bambamarca,-6.6833,-78.5333,19.76,35,16,3.87,PE,1691084269
wanning,18.8003,110.3967,27.91,78,96,5.74,CN,1691084269
bridgeport,41.167,-73.2048,27.59,55,0,5.14,US,1691083883
cidreira,-30.1811,-50.2056,17.95,81,100,3.75,BR,1691084270
kanniyakumari,8.0833,77.5667,26.71,76,6,10.46,IN,1691084270
veraval,20.9,70.3667,26.7,87,100,7.53,IN,1691084271
berezovo,63.9381,65.0419,20.72,65,76,3.04,RU,1691084271
kapa'a,22.0752,-159.319,27.18,84,20,7.72,US,1691084271
labrador city,52.9463,-66.9114,16.95,55,75,2.57,CA,1691084272
mejit,10.2753,170.8646,28.16,78,98,5.86,MH,1691084272
brookings,44.3114,-96.7984,30.06,65,75,3.6,US,1691084273
nsanje,-16.92,35.262,20.28,65,85,1.63,MW,1691084273
bitam,2.076,11.5007,22.62,82,100,1.12,GA,1691084273
inhambane,-23.865,35.3833,19.99,77,20,4.12,MZ,1691084274
kolokani,13.5728,-8.0339,35.36,35,8,0.74,ML,1691084274
new plymouth,-39.0667,174.0833,4.06,65,0,0.87,NZ,1691084044
slave lake,55.2834,-114.769,17.99,72,40,4.63,CA,1691084275
parkano,62.0167,23.0167,14.61,95,100,3.44,FI,1691084275
weno,7.4515,151.8468,27.92,74,25,1.06,FM,1691084276
sao joao da barra,-21.6403,-41.0511,30.05,57,0,2.87,BR,1691084276
vila velha,-20.3297,-40.2925,29.97,64,0,2.06,BR,1691084276
gulf park estates,30.3919,-88.7611,34.01,55,20,3.6,US,1691084277
walvis bay,-22.9575,14.5053,12.83,87,75,3.09,NA,1691084277
fort mcmurray,56.7268,-111.381,18.77,82,75,1.54,CA,1691084278
semporna,4.4818,118.6112,26.46,83,30,1.11,MY,1691084278
corinto,37.9407,22.9573,30.5,60,0,1.33,GR,1691083986
maragogi,-9.0122,-35.2225,25.57,70,79,4.95,BR,1691083990
reggane,26.7158,0.1714,46.21,5,1,3.71,DZ,1691084279
codrington,-38.2667,141.9667,17.19,44,100,9.69,AU,1691084279
nova sintra,14.8667,-24.7167,22.75,76,36,3.36,CV,1691084280
ust-nera,64.5667,143.2,10.86,66,1,1.66,RU,1691084280
klaksvik,62.2266,-6.589,8.51,80,100,9.57,FO,1691084280
tionk essil,12.7856,-16.5217,29.98,76,100,2.56,SN,1691084281
flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1691084281
alofi,-19.0595,-169.9187,20.94,88,100,5.66,NU,1691084282
santa ana,33.7456,-117.8678,29.42,65,20,2.06,US,1691084076
serowe,-22.3833,26.7167,8.62,74,36,2.43,BW,1691084283
lamar,33.6668,-95.5836,37.77,46,0,4.63,US,1691084283
chernyshkovskiy,48.4219,42.2308,25.97,52,78,4.42,RU,1691084283
arkhara,49.4212,130.0842,17.2,91,100,1.51,RU,1691084284
margate,51.3813,1.3862,21.04,60,94,1.79,GB,1691084284
medicina-buda,44.4787,11.6381,31.51,45,19,5.43,IT,1691084285
anadyr,64.75,177.4833,11.28,93,75,7.0,RU,1691084285
vernon,50.2581,-119.2691,27.01,30,0,1.03,CA,1691083990
gadzhiyevo,69.2551,33.3362,20.92,69,8,5.01,RU,1691084286
port alfred,-33.5906,26.891,19.28,51,3,4.61,ZA,1691084286
nago,26.5881,127.9761,28.47,89,100,11.62,JP,1691084287
argungu,12.7433,4.5269,32.43,49,100,2.15,NG,1691084287
bilibino,68.0546,166.4372,9.35,96,100,0.79,RU,1691084288
hilo,19.7297,-155.09,23.47,96,100,2.57,US,1691084159
howrah,22.5892,88.3103,29.0,89,40,3.6,IN,1691084289
lesogorsk,56.0458,99.5136,16.7,97,99,1.66,RU,1691084289
iqaluit,63.7506,-68.5145,8.85,81,40,2.06,CA,1691084289
bikenibeu village,1.3673,173.1241,26.98,89,20,1.54,KI,1691084290
mount pearl,47.5166,-52.7813,23.19,40,75,3.09,CA,1691084062
aykhal,66.0,111.5,5.66,87,97,3.4,RU,1691084291
saldanha,-33.0117,17.9442,19.03,53,18,2.84,ZA,1691084291
college,64.8569,-147.8028,20.67,73,75,1.54,US,1691084287
papao,-17.75,-149.55,23.82,74,14,6.76,PF,1691084294
haiku-pauwela,20.9219,-156.3051,25.02,74,0,4.63,US,1691084294
muroto-misakicho,33.2833,134.15,27.42,81,26,2.18,JP,1691084295
lere,10.387,8.5726,21.93,91,73,2.27,NG,1691084295
dawei,14.0833,98.2,25.51,91,100,3.6,MM,1691084296
tura,25.5198,90.2201,24.28,97,100,2.68,IN,1691084296
valsad,20.6333,72.9333,26.53,85,100,7.33,IN,1691084297
strezhevoy,60.7333,77.5889,18.49,87,88,3.03,RU,1691084297
bandarbeyla,9.4942,50.8122,24.58,82,44,13.11,SO,1691084297
rio grande,-32.035,-52.0986,16.06,62,66,4.47,BR,1691084087
luanda,-8.8368,13.2343,23.0,64,40,4.63,AO,1691084299
bantay,17.5847,120.3892,27.2,81,100,9.04,PH,1691084299
grande prairie,55.1667,-118.8027,17.1,59,75,6.69,CA,1691084136
petropavlovsk-kamchatsky,53.0452,158.6483,11.33,94,75,1.0,RU,1691084300
mala,-12.6581,-76.6308,21.65,65,52,3.75,PE,1691084300
niamtougou,9.7681,1.1053,26.91,69,40,3.09,TG,1691084301
calatagan,13.8833,120.65,27.16,82,99,7.1,PH,1691084301
susuman,62.7833,148.1667,5.18,70,95,1.9,RU,1691084302
kalmunai,7.4167,81.8167,27.82,71,16,3.11,LK,1691084302
yarmouth,41.7057,-70.2286,26.75,67,0,6.69,US,1691084302
okhotsk,59.3833,143.3,13.13,61,100,5.46,RU,1691084303
palikir - national government center,6.9248,158.1611,24.41,94,75,0.0,FM,1691084304
atafu village,-8.5421,-172.5159,28.2,74,13,6.34,TK,1691084304
vicksburg,32.3526,-90.8779,35.82,1,0,3.6,US,1691084102
kaa-khem,51.6833,94.7333,20.3,55,35,2.87,RU,1691084305
road town,18.4167,-64.6167,32.02,66,75,5.14,VG,1691084025
lycksele,64.5954,18.6735,19.13,68,100,3.09,SE,1691084306
presidente epitacio,-21.7633,-52.1156,31.02,25,0,1.17,BR,1691084307
saint-philippe,-21.3585,55.7679,21.77,86,57,7.32,RE,1691084308
kovernino,57.1253,43.8142,19.56,88,74,2.14,RU,1691084308
polyarnyy,69.1989,33.4478,20.79,70,9,5.06,RU,1691084309
pemba,-12.974,40.5178,25.39,78,20,7.72,MZ,1691084309
oranjestad,12.524,-70.027,31.97,66,75,7.2,AW,1691084310
port lincoln,-34.7333,135.8667,14.62,87,100,9.86,AU,1691084310
sitka,57.0531,-135.33,15.94,82,75,2.06,US,1691084311
remire-montjoly,4.9167,-52.2667,29.02,79,75,5.14,GF,1691084311
praia da vitoria,38.7333,-27.0667,25.14,78,40,5.56,PT,1691084312
tazovsky,67.4667,78.7,14.28,58,29,4.05,RU,1691084312
adrar,20.5022,-10.0711,44.85,5,16,5.47,MR,1691084313
port shepstone,-30.7414,30.455,17.79,79,0,6.6,ZA,1691084095
grand rapids,42.9634,-85.6681,29.95,63,40,5.14,US,1691084136
al bawiti,28.3492,28.8659,33.5,19,0,3.95,EG,1691084314
zaozersk,69.4005,32.4476,21.57,67,20,3.45,RU,1691084314
kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1691084316
yorkton,51.2167,-102.4677,25.91,41,0,5.14,CA,1691084317
new norfolk,-42.7826,147.0587,12.18,79,100,0.6,AU,1691084317
peniche,39.3558,-9.3811,22.94,71,0,11.84,PT,1691084318
wailua homesteads,22.0669,-159.378,26.44,84,20,7.72,US,1691084318
kapuskasing,49.4169,-82.4331,20.05,82,75,4.63,CA,1691084319
bulgan,48.8125,103.5347,14.92,91,80,0.75,MN,1691084319
east london,-33.0153,27.9116,18.52,52,0,3.09,ZA,1691084191
isabela,6.7085,121.9711,25.76,87,23,1.97,PH,1691084320
hami,42.8,93.45,31.74,17,0,7.35,CN,1691084320
berdyansk,46.7503,36.7944,25.15,71,13,3.26,UA,1691084321
ardakan,32.31,54.0175,33.91,11,0,3.62,IR,1691084321
mount isa,-20.7333,139.5,17.87,55,0,2.06,AU,1691084321
porto novo,6.4965,2.6036,26.9,80,98,3.79,BJ,1691084039
salahonda,2.1019,-78.7217,27.45,78,81,3.7,CO,1691084323
opuwo,-18.0607,13.84,19.89,16,8,3.13,NA,1691084323
okha,53.5739,142.9478,12.84,90,100,5.77,RU,1691084324
port augusta,-32.5,137.7667,19.62,45,37,8.43,AU,1691084324
afaahiti,-17.75,-149.2833,22.93,76,17,6.25,PF,1691084324
cabo san lucas,22.8909,-109.9124,37.01,49,20,5.14,MX,1691084299
north bay,46.3168,-79.4663,23.01,68,100,3.09,CA,1691084325
hawaiian paradise park,19.5933,-154.9731,23.35,96,100,2.57,US,1691084326
saminaka,10.414,8.6828,21.88,91,69,2.12,NG,1691084326
aras-asan,8.8908,126.3033,25.89,88,89,2.23,PH,1691084326
luderitz,-26.6481,15.1594,16.9,47,98,1.74,NA,1691084327
tangalle,6.024,80.7911,25.94,86,36,5.45,LK,1691084327
merced,37.1666,-120.7516,25.59,44,0,2.66,US,1691084158
pisco,-13.7,-76.2167,21.03,68,100,3.6,PE,1691084328
ishigaki,24.3448,124.1572,27.07,100,75,10.29,JP,1691084328
el granada,37.5027,-122.4694,23.93,80,100,5.14,US,1691084329
leesville,31.1435,-93.261,36.24,49,0,1.54,US,1691084329
albany,42.6001,-73.9662,26.6,65,83,1.79,US,1691084231
tra mhor,52.1624,-7.1524,18.94,70,75,5.14,IE,1691084330
oranjemund,-28.55,16.4333,15.98,54,77,1.98,NA,1691084330
madang,-5.2246,145.7966,24.78,90,51,1.19,PG,1691084330
basni,27.1667,73.65,29.44,65,99,7.79,IN,1691084144
namibe,-15.1961,12.1522,18.43,85,40,2.7,AO,1691084331
karratha,-20.7377,116.8463,20.76,73,1,2.81,AU,1691084332
alice springs,-23.7,133.8833,13.75,62,100,0.0,AU,1691084170
olonets,60.9847,32.9698,18.64,95,86,1.59,RU,1691084333
rongelap,11.1635,166.8941,28.46,78,99,6.12,MH,1691084333
crane,31.3974,-102.3501,35.03,28,14,7.23,US,1691084334
jose bonifacio,-21.0528,-49.6883,31.59,17,0,1.59,BR,1691084334
hirara,24.8,125.2833,28.15,94,100,14.92,JP,1691084334
orlov,58.5395,48.8917,18.11,83,60,0.24,RU,1691084335
siem reap,13.5,104.0,25.86,99,100,1.07,KH,1691084335
sur,22.5667,59.5289,33.7,53,47,3.95,OM,1691083813
llallagua,-18.4167,-66.6333,13.45,5,0,7.97,BO,1691084336
mount gambier,-37.8333,140.7667,18.04,45,100,8.57,AU,1691084144
vanimo,-2.6741,141.3028,25.81,88,97,1.96,PG,1691084342
jinka,5.65,36.65,17.25,69,81,1.45,ET,1691084343
kakata,6.53,-10.3517,25.03,88,98,2.74,LR,1691084344
kathu,7.9178,98.3332,27.9,83,100,4.73,TH,1691084344
karpinsk,59.7654,60.0085,19.17,78,99,2.0,RU,1691084345
nagqu,31.5,92.0,6.38,87,100,1.83,CN,1691084345
kilindoni,-7.9139,39.6668,24.49,80,19,8.83,TZ,1691084346
goksun,38.021,36.4973,22.68,48,0,2.61,TR,1691084346
bamboo flat,11.7,92.7167,28.05,83,40,2.57,IN,1691084346
winnemucca,40.973,-117.7357,26.03,31,0,0.0,US,1691084219
badger,64.8,-147.5333,20.63,72,75,1.54,US,1691084349
nguigmi,14.2495,13.1092,31.69,53,54,4.72,NE,1691084349
petauke,-14.2426,31.3253,16.58,50,12,5.12,ZM,1691084351
heroica guaymas,27.9333,-110.9,35.81,59,20,0.0,MX,1691084220
sabha,27.0377,14.4283,35.9,12,0,2.4,LY,1691084352
ilulissat,69.2167,-51.1,9.01,71,75,2.57,GL,1691084353
santa rosalia,27.3167,-112.2833,32.92,49,4,2.92,MX,1691084353
nikolayevsk-on-amure,53.1406,140.73,11.44,86,93,1.56,RU,1691084353
nemuro,43.3236,145.575,18.56,99,99,8.74,JP,1691084354
taoudenni,22.6783,-3.9836,48.6,5,5,5.14,ML,1691084354
plouzane,48.3833,-4.6167,17.03,85,100,6.69,FR,1691084355
mitu,1.1983,-70.1733,33.11,48,33,0.53,CO,1691084355
usinsk,65.9939,57.5281,21.46,69,18,4.09,RU,1691084356
sittwe,20.15,92.9,27.62,86,100,6.56,MM,1691084356
darwin,-12.4611,130.8418,23.99,78,75,1.03,AU,1691084225
argo,37.6333,22.7333,30.44,54,0,0.55,GR,1691084357
ancud,-41.8697,-73.8203,7.53,71,28,0.88,CL,1691084357
delta,5.5,6.0,24.55,82,97,2.71,NG,1691084358
port-vila,-17.7338,168.3219,22.78,94,100,4.12,VU,1691084358
san patricio,28.017,-97.5169,36.15,41,3,5.98,US,1691084358
penaranda de bracamonte,40.9011,-5.2003,25.21,16,0,4.31,ES,1691084359
sumbawa besar,-8.5,117.4333,20.1,88,4,2.19,ID,1691084360
yulinshi,38.2906,109.7494,27.87,61,36,3.86,CN,1691084360
caluula,11.9661,50.7569,31.42,60,88,2.99,SO,1691084360
pazin,45.2403,13.9367,28.36,86,56,4.65,HR,1691084361
arraial do cabo,-22.9661,-42.0278,26.98,47,0,3.6,BR,1691084361
bay city,43.5945,-83.8889,29.18,61,0,3.6,US,1691084166
coahuayana de hidalgo,18.7,-103.6583,32.15,60,93,2.56,MX,1691084362
filingue,14.3521,3.3168,36.58,35,52,4.06,NE,1691084363
luau,-10.7073,22.2247,22.41,25,0,2.05,AO,1691084364
haizhou,34.5817,119.1289,24.56,96,0,1.81,CN,1691084364
abnub,27.2696,31.1511,37.12,16,3,4.11,EG,1691084364
laojunmiao,39.8333,97.7333,23.61,29,2,2.48,CN,1691084365
kombissiri,12.0656,-1.3375,30.99,51,21,2.3,BF,1691084365
quang ngai,15.1167,108.8,27.59,72,100,3.21,VN,1691084366
hithadhoo,-0.6,73.0833,28.08,74,66,3.84,MV,1691084366
shahrak,34.1074,64.3052,17.32,28,0,2.2,AF,1691084367
hadibu,12.65,54.0333,26.47,72,77,9.28,YE,1691084367
montehermoso,40.0437,-6.3389,29.92,12,0,7.45,ES,1691084368
fukuecho,32.6881,128.8419,27.92,81,3,7.45,JP,1691084368
crumlin,54.6243,-6.2156,16.55,88,75,6.69,GB,1691084369
jaffna,9.6685,80.0074,27.71,85,6,11.95,LK,1691084369
sbikha,35.9333,10.0208,38.98,40,4,6.73,TN,1691084370
lihue,21.9789,-159.3672,26.77,79,20,7.72,US,1691084370
santa cruz,-17.8,-63.1667,33.03,38,0,6.69,BO,1691083960
bereket,39.2446,55.5154,30.83,46,37,6.25,TM,1691084165
paracuru,-3.41,-39.0306,27.84,65,8,7.47,BR,1691084371
alenquer,-1.9417,-54.7383,34.33,40,26,2.4,BR,1691084372
st. john's,47.5649,-52.7093,23.66,40,75,3.09,CA,1691084193
balod,20.73,81.2047,22.87,90,100,6.87,IN,1691084372
bondo,3.8146,23.6866,24.25,79,83,0.69,CD,1691084373
tortoli,39.9256,9.6572,28.9,70,0,3.09,IT,1691084373
salinopolis,-0.6136,-47.3561,27.32,80,5,8.92,BR,1691084374
kiunga,-6.1219,141.2906,22.94,89,100,1.46,PG,1691084374
santa adelia,-21.2428,-48.8042,31.54,18,0,1.16,BR,1691084374
zhigalovo,54.8097,105.1578,15.63,52,100,1.36,RU,1691084375
la ronge,55.1001,-105.2842,19.14,77,75,3.6,CA,1691084375
keflavik,64.0049,-22.5624,13.24,76,75,5.66,IS,1691084323
marsh harbour,26.5412,-77.0636,29.05,65,20,4.06,BS,1691084376
dryden,49.7833,-92.7503,24.16,57,20,3.6,CA,1691084376
waingapu,-9.6567,120.2641,24.64,86,2,6.91,ID,1691084377
lebu,-37.6167,-73.65,10.06,61,44,12.22,CL,1691084377
gongchangling,41.1167,123.45,25.28,79,58,3.44,CN,1691084378
poronaysk,49.2167,143.1167,13.78,89,100,0.56,RU,1691084378
kwang binh,17.4833,106.6,27.39,79,100,6.62,VN,1691084378
serafimovich,49.5786,42.736,22.57,54,85,2.05,RU,1691084379
northam,51.0333,-4.2167,16.48,81,85,8.87,GB,1691084379
san pedro,14.35,121.0167,26.57,95,75,2.57,PH,1691084358
rakops,-21.0167,24.3333,16.09,48,0,3.27,BW,1691084380
vilyuysk,63.7553,121.6247,13.32,83,100,2.16,RU,1691084380
midvagur,62.0511,-7.1939,8.46,87,100,8.75,FO,1691084381
fortuna,40.5982,-124.1573,20.52,79,75,0.89,US,1691084381
middlesboro,36.6084,-83.7166,24.0,94,100,0.0,US,1691084381
chonchi,-42.6128,-73.8092,9.51,70,69,2.81,CL,1691084382
luwingu,-10.2621,29.9271,17.15,47,20,2.37,ZM,1691084382
djibouti,11.5,42.5,31.67,38,55,1.06,DJ,1691084383
kamaishi,39.2667,141.8833,24.46,91,9,2.23,JP,1691084383
langxiang,46.95,128.8833,16.09,98,99,2.09,CN,1691084383
tolanaro,-25.0319,46.9987,20.04,64,40,6.17,MG,1691084385
christchurch,-43.5333,172.6333,3.6,94,5,0.51,NZ,1691084282
kingston,17.997,-76.7936,35.13,67,20,5.14,JM,1691083672
julio de castilhos,-29.2269,-53.6817,23.01,64,35,2.52,BR,1691084386
las lomitas,-24.7096,-60.593,36.78,18,1,4.03,AR,1691084386
yaren,-0.5472,166.916,28.28,74,15,3.3,NR,1691084387
vila franca do campo,37.7167,-25.4333,25.23,82,74,5.2,PT,1691084387
yingshang chengguanzhen,32.6295,116.2701,26.21,85,0,2.75,CN,1691084388
berdigestyakh,62.0989,126.6992,11.95,72,16,0.8,RU,1691084388
carnarvon,-24.8667,113.6333,15.63,56,0,7.61,AU,1691084388
fort bragg,35.139,-79.006,27.68,57,100,2.57,US,1691084389
la'ie,21.6477,-157.9253,27.98,75,8,6.51,US,1691084389
kamiiso,41.8167,140.65,23.8,96,77,2.7,JP,1691084390
emporia,38.4039,-96.1817,28.11,89,40,4.63,US,1691084120
sao jose da coroa grande,-8.8978,-35.1478,26.37,61,66,4.12,BR,1691084391
magadan,59.5667,150.8,18.63,75,100,2.39,RU,1691084391
vadso,70.0744,29.7487,20.49,88,0,3.09,NO,1691084392
dobrush,52.4089,31.3237,23.09,68,25,2.15,BY,1691084392
qaqortoq,60.7167,-46.0333,8.01,77,96,3.63,GL,1691084392
bushehr,28.9684,50.8385,37.05,53,0,5.14,IR,1691084393
rawalpindi,33.6007,73.0679,31.24,74,0,3.27,PK,1691084394
camana,-16.6228,-72.7111,21.0,66,43,3.56,PE,1691084394
trondheim,63.4305,10.3951,19.03,78,50,0.45,NO,1691084395
kenai,60.5544,-151.2583,13.94,91,40,5.66,US,1691084395
phan thiet,10.9333,108.1,24.47,95,96,2.7,VN,1691084395
las khorey,11.1595,48.1967,32.9,52,57,4.62,SO,1691084396
chita,52.0333,113.55,13.94,100,40,1.0,RU,1691084108
sodankyla,67.4167,26.6,17.17,94,100,3.6,FI,1691084397
charters towers,-20.1,146.2667,13.21,91,0,4.39,AU,1691084397
latimer,30.5346,-88.8667,33.95,46,20,3.6,US,1691084398
kurumkan,54.3,110.3,17.21,94,95,0.23,RU,1691084398
nayudupet,13.9,79.9,31.43,46,79,9.1,IN,1691084398
bukhara,39.7747,64.4286,28.97,24,0,4.12,UZ,1691084399
orkney,-26.9802,26.6727,11.12,41,1,3.61,ZA,1691084399
xam nua,20.4197,104.0439,21.0,100,100,0.83,LA,1691084400
ndele,8.4109,20.6473,23.19,92,80,1.79,CF,1691084401
selfoss,63.9331,-20.9971,14.47,65,51,5.21,IS,1691084401
voss,60.623,6.4229,18.83,77,96,1.94,NO,1691084402
hauterive,46.0901,3.4459,20.42,69,52,7.68,FR,1691084402
kegeyli shahar,42.7767,59.6078,32.05,28,43,5.64,UZ,1691084403
tegueste,28.5167,-16.3167,26.16,79,40,9.26,ES,1691084403
ebaye,8.7748,167.7392,27.01,89,40,5.22,MH,1691084404
beawar,26.1,74.3167,26.75,76,100,5.18,IN,1691084404
newman,37.3138,-121.0208,25.59,28,0,0.88,US,1691084219
bredy,52.4153,60.3411,20.15,69,49,0.36,RU,1691084406
beau vallon,-20.4189,57.6953,23.13,78,40,6.17,MU,1691084406
alesund,62.4723,6.1549,16.51,89,75,2.57,NO,1691084406
sault ste. marie,46.5168,-84.3333,25.31,80,75,4.12,CA,1691084151
choix,26.7092,-108.3219,36.39,32,58,2.33,MX,1691084408
villa del totoral,-30.8167,-63.7167,20.76,33,100,4.33,AR,1691084409
saint-louis,16.3333,-15.0,36.8,38,33,3.17,SN,1691084409
springbok,-29.6643,17.8865,15.29,33,26,1.78,ZA,1691084410
santana,-0.0583,-51.1817,33.1,58,40,2.53,BR,1691084112
jayapura,-2.5333,140.7,24.66,90,92,2.3,ID,1691084411
klyuchi,52.2667,79.1667,20.69,60,91,1.58,RU,1691084412
